migration_priority,group_section,owner,source_site,url,target_url,h1,title,meta_description,text_length,rewrite_need
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace,https://vitar-group.cz/b2b,Pro partnery,"Pro partnery | VITAR, s.r.o.","Chcete spolupracovat s VITARem, tradičním českým výrobcem vitaminových doplňků? Kontaktujte členy našich týmů pro lékárny, obchodní řetězce a drogerie, export, smluvní výrobu nebo pro prodej vitaminů do firem.",4307,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace/export,https://vitar-group.cz/b2b/export,,"Export | VITAR, s.r.o.","Doplňky stravy od VITARu jsou dostupné v téměř 40 zemích světa. Pokud máte i vy zájem s námi spolupracovat, náš exportní tým je vám k dispozici!",3617,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace/lekarny,https://vitar-group.cz/b2b/farmacie,,"Lékárny | VITAR, s.r.o.","Máme odborný tým zaměřený na lékárenské velkoobchody, lékárny a prodejny se zdravou výživou, kam dodáváme naše doplňky stravy. Kontaktujte nás!",2680,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace/prodej-do-firem,https://vitar-group.cz/b2b/prodej-do-firem,,"Prodej do firem | VITAR, s.r.o.",Chcete benefit pro zaměstnance v podobě vitaminových balíčků? Nabízíme plnění zdravotně-preventivních programů kvalitními vitaminy a dalšími doplňky stravy. Kontaktujte nás!,2634,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace/retail,https://vitar-group.cz/b2b/retail,,"Retail | VITAR, s.r.o.","Máte-li zájem o doplňky stravy od tradičního českého výrobce vitaminových doplňků, kontaktujte nás! Naši specialisté jsou vám k dispozici.",3363,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace/smluvni-vyroba-a-privatni-znacky,https://vitar-group.cz/b2b/smluvni-vyroba,,"Smluvní výroba a privátní značky | VITAR, s.r.o.","VITAR je tradiční český výrobce vitaminových doplňků, který nabízí spolupráci i v oblasti smluvní výroby a výroby doplňků stravy pod privátní značkou. Kontaktujte nás!",2669,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,Homepage / positioning,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/,https://vitar-group.cz/,VITAR : Tradiční český výrobce vitaminových doplňků,"VITAR, s.r.o.: Vitaminy, minerální látky, doplňky stravy",Jsme tradiční český výrobce vitaminových doplňků s historií od roku 1990. Pomáháme lidem vést zdravější život prostřednictvím kvalitních doplňků stravy i řadou projektů.,6377,"Rewrite strongly for new VITAR GROUP positioning, SBU model and trust proof."
P0,Homepage / positioning,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/homepage/,https://vitar-group.cz/,VITAR : Tradiční český výrobce vitaminových doplňků,"VITAR, s.r.o.: Vitaminy, minerální látky, doplňky stravy",Jsme tradiční český výrobce vitaminových doplňků s historií od roku 1990. Pomáháme lidem vést zdravější život prostřednictvím kvalitních doplňků stravy i řadou projektů.,6377,"Rewrite strongly for new VITAR GROUP positioning, SBU model and trust proof."
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/dcerine-spolecnosti,https://vitar-group.cz/o-skupine/dcerine-spolecnosti,Skupina společností VITAR,"Skupina společností VITAR | VITAR, s.r.o.","Seznamte se s dceřinými společnostmi VITARu, tradičního českého výrobce vitaminových doplňků. Mezi naše dceřinky patří VITAR Slovakia, VITAR Sport, VITAR Veterinae.",3782,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/historie,https://vitar-group.cz/o-skupine/historie,,"Historie | VITAR, s.r.o.",Seznamte se s historií VITARu - tradičního českého výrobce vitaminových doplňků. Na trhu působíme už od roku 1990 a jsme jedničkou v oblasti doplňků stravy v obchodních řetězcích a drogeriích.,2489,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/kde-koupite,https://vitar-group.cz/o-skupine/kde-koupite,Kde koupíte,"Kde koupíte | VITAR, s.r.o.",Kde všude koupíte doplňky stravy od VITARu - tradičního českého výrobce vitamínových doplňků?,3418,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/kdo-jsme,https://vitar-group.cz/o-skupine/kdo-jsme,Kdo jsme,"Kdo jsme | VITAR, s.r.o.","Jsme tradiční česká rodinná firma založená roku 1990, největší výrobce a dodavatel doplňků stravy do obchodních řetězců v České republice a na Slovensku.",2518,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/management,https://vitar-group.cz/o-skupine/management,Management,"Management | VITAR, s.r.o.","Seznamte se s managementem naší rodinné firmy, tradičního českého výrobce vitaminových doplňků s historií od roku 1990.",3706,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/novinky/maxivita/,https://vitar-group.cz/o-skupine/maxivita,MaxiVita,"MaxiVita | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",2218,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas,https://vitar-group.cz/o-skupine/o-nas,Doplňky stravy vyrábíme od roku 1990,"O společnosti | VITAR, s.r.o.","VITAR je tradiční český výrobce vitaminových doplňků, jednička na trhu v oblasti doplňků stravy v obchodních řetězcích a drogeriích v Česku a na Slovensku. Vitaminy, minerální látky a další užitečné produkty nabízíme i v lékárnách a vyvážíme je do téměř 40 zemí světa.",3572,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti,https://vitar-group.cz/o-skupine/o-spolecnosti,Doplňky stravy vyrábíme od roku 1990,"O společnosti | VITAR, s.r.o.","VITAR je tradiční český výrobce vitaminových doplňků, jednička na trhu v oblasti doplňků stravy v obchodních řetězcích a drogeriích v Česku a na Slovensku. Vitaminy, minerální látky a další užitečné produkty nabízíme i v lékárnách a vyvážíme je do téměř 40 zemí světa.",3572,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/pribeh-generalniho-reditele,https://vitar-group.cz/o-skupine/pribeh-generalniho-reditele,Příběh generálního ředitele,"Příběh generálního ředitele | VITAR, s.r.o.",Seznamte se s generálním ředitelem VITARu a pokračovatelem rodinné tradice Vladimírem Poláškem jr.,8321,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/pribeh-vitaru,https://vitar-group.cz/o-skupine/pribeh-vitaru,Za úspěchem stojí silná vize a odhodlání k jejímu naplnění,"Příběh VITARu | VITAR, s.r.o.","Za úspěchem VITARu stojí silná vize a odhodlání k jejímu naplnění. Seznamte se s unikátním příběhem rodinné firmy, tradičního českého výrobce vitaminů, minerálních látek a doplňků stravy.",8145,Light rewrite and design/content QA before migration.
P0,Trust / compliance / kvalita,Quality/legal + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/certifikaty,https://vitar-group.cz/kvalita/certifikaty,,"Certifikáty | VITAR, s.r.o.",VITAR je jako tradiční výrobce vitaminových doplňků držitelem mnoha certifikátů souvisejících s výrobou potravin/doplňků stravy. Jsme také signatáři Charty kvality ČR.,4744,Light rewrite and design/content QA before migration.
P0,Trust / compliance / kvalita,Quality/legal + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/doplnky-stravy-a-jejich-kontrola,https://vitar-group.cz/kvalita/doplnky-stravy-a-jejich-kontrola,,"Doplňky stravy a jejich kontrola | VITAR, s.r.o.","Jaké mechanismy fungují pro kontrolu doplňků stravy, jaké požadavky musí splňovat a kdo je vlastně kontroluje?",4181,Light rewrite and design/content QA before migration.
P0,Trust / compliance / kvalita,Quality/legal + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/eticky-kodex,https://vitar-group.cz/kvalita/eticky-kodex,Etický kodex,"Etický kodex | VITAR, s.r.o.","Našim zákazníkům i zaměstnancům garantujeme etické chování. Při všech činnostech se řídíme etickým kodexem, který je pro VITAR závazný. Podívejte se na naše zásady.",5773,Light rewrite and design/content QA before migration.
P0,Trust / compliance / kvalita,Quality/legal + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/udrzitelnost,https://vitar-group.cz/kvalita/udrzitelnost,Udržitelnost,"Udržitelnost | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",2977,Light rewrite and design/content QA before migration.
P0,Trust / compliance / kvalita,Quality/legal + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/whistleblowing,https://vitar-group.cz/kvalita/whistleblowing,Whistleblowing,"Whistleblowing | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",8681,Light rewrite and design/content QA before migration.
P1,Kariéra,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/gdpr-informace-pro-uchazece-o-zamestnani,https://vitar-group.cz/kariera,GDPR informace - pro uchazeče o zaměstnání,"GDPR informace - pro uchazeče o zaměstnání | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",7971,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/zamestnanci,https://vitar-group.cz/kariera,Příběhy zaměstnanců,"Příběhy zaměstnanců | VITAR, s.r.o.",Prohlédněte si videomedailonky našich zaměstnanců. Třeba se pak rozhodnete přidat k nám a pomáhat lidem vést zdravější život.,4476,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / oddělení,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/oddeleni/ekonomika,https://vitar-group.cz/kariera/oddeleni/ekonomika,Finanční oddělení,"Finanční | VITAR, s.r.o.",Veškerou ekonomickou agendu ve VITARu spravují účetní a finanční ředitelka. Zabývají se kompletní ekonomikou VITARu i dceřiných společností. Jak to u nich chodí?,3900,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / oddělení,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/oddeleni/export,https://vitar-group.cz/kariera/oddeleni/export,Export a smluvní výroba,"Export a smluvní výroba | VITAR, s.r.o.","Doplňky stravy vyrobené ve VITARu jsou dostupné kromě Česka a Slovenska v dalších 40 zemích světa. Seznamte se s naším exportním oddělením, pod které spadá také smluvní a privátní výroba.",4817,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / oddělení,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/oddeleni/marketing,https://vitar-group.cz/kariera/oddeleni/marketing,Marketing,"Marketing | VITAR, s.r.o.","Podpora péče o značky, zvyšování jejich známosti a budování poptávky je jedním z hlavních úkolů marketingu VITARu, tradičního českého výrobce vitaminových doplňků. Mrkněte, jak to u nás vypadá!",4669,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / oddělení,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/oddeleni/nakup-a-logistika,https://vitar-group.cz/kariera/oddeleni/nakup-a-logistika,Nákup a logistika,"Nákup a logistika | VITAR, s.r.o.","Nákupy, zákaznický servis, sklady, expedice. To všechno spadá pod oddělení nákupu a logistiky. Jak to v něm chodí? Mrkněte a přidejte se k nám!",3835,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / oddělení,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/oddeleni/obchod-farmacie,https://vitar-group.cz/kariera/oddeleni/obchod-farmacie,Obchod - farmacie,"Obchod - farmacie | VITAR, s.r.o.","Farmaceutická obchodní divize se stará o prodej a podporu doplňků stravy a dalších produktů VITARu v lékárnách, kde působíme už od roku 1990. Seznamte se s naší činností!",4946,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / oddělení,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/oddeleni/obchod-retail,https://vitar-group.cz/kariera/oddeleni/obchod-retail,Obchod - retail,"Obchod - retail | VITAR, s.r.o.","Retailový obchodní tým se stará o prodej a podporu doplňků stravy a dalších produktů VITARu v obchodních řetězcích, drogeriích, čerpacích stanicích a na nezávislém trhu.",4921,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / oddělení,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/oddeleni,https://vitar-group.cz/kariera/oddeleni/oddeleni,Představení oddělení,"Představení oddělení | VITAR, s.r.o.",Seznamte se s prací jednotlivých odděleních VITARu - tradičního českého výrobce vitaminových doplňků. Přidejte se k nám a pomáhejte lidem vést zdravější život.,2952,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / oddělení,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/oddeleni/personalistika,https://vitar-group.cz/kariera/oddeleni/personalistika,Personalistika,"Personalistika | VITAR, s.r.o.","Každý, kdo pracuje ve VITARu, nebo by pro něj pracovat chtěl, přijde do kontaktu s personálním oddělením. Jak to na něm vypadá a kdo stojí v jeho čele? Seznamte se!",4509,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / oddělení,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/oddeleni/vyroba,https://vitar-group.cz/kariera/oddeleni/vyroba,Výroba,"Výroba | VITAR, s.r.o.",VITAR má svůj vlastní výrobní závod na výrobu doplňků stravy v Tišnově u Brna. Jak to u nás ve výrobě chodí? Podívejte se a přidejte se k nám!,4343,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / oddělení,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/oddeleni/vyvoj-a-kvalita,https://vitar-group.cz/kariera/oddeleni/vyvoj-a-kvalita,Vývoj a kvalita,"Vývoj a kvalita | VITAR, s.r.o.","Od požadavku na nový produkt až po jeho první výrobu. Tak by se dalo velmi stručně popsat poslání oddělení vývoje a legislativy, kterým VITAR jako tradiční výrobce vitaminových doplňků disponuje.",5102,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/e-commerce-development-lead,https://vitar-group.cz/kariera/volna-mista/e-commerce-development-lead,E-commerce Development Lead pro nové Vitar.cz,"E-commerce Development Lead | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",10227,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/hlavni-technolog-technolozka,https://vitar-group.cz/kariera/volna-mista/hlavni-technolog-technolozka,Hlavní technolog/technoložka,"Hlavní technolog/technoložka | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",4553,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/nabidka-pro-absolventy,https://vitar-group.cz/kariera/volna-mista/nabidka-pro-absolventy,Nabídka pro absolventy,"Nabídka pro absolventy | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",3816,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/operator-ka-vyroby,https://vitar-group.cz/kariera/volna-mista/operator-ka-vyroby,Operátor/ka výroby,"Operátor/ka výroby | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",4816,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/pracovnik-ce-laboratore,https://vitar-group.cz/kariera/volna-mista/pracovnik-ce-laboratore,Specialista/specialistka laboratoře,"Specialista/ka laboratoře | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",4300,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/pracovnik-pracovnice-bufetu,https://vitar-group.cz/kariera/volna-mista/pracovnik-pracovnice-bufetu,Pracovník/pracovnice bufetu,"Pracovník/pracovnice bufetu | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",3391,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/prumyslovy-a-elektrikar-ka,https://vitar-group.cz/kariera/volna-mista/prumyslovy-a-elektrikar-ka,Průmyslový/á elektrikář/ka,"Průmyslový/á elektrikář/ka | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",4417,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/seniorni-ucetni,https://vitar-group.cz/kariera/volna-mista/seniorni-ucetni,Účetní,"Účetní | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",4292,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/serizovac-vyrobnich-linek,https://vitar-group.cz/kariera/volna-mista/serizovac-vyrobnich-linek,Seřizovač,"Seřizovač | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",5089,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/skladnik-skladnice,https://vitar-group.cz/kariera/volna-mista/skladnik-skladnice,Skladník/skladnice - dvousměnný provoz,"Skladník/skladnice - dvousměnný provoz | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",4361,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista/specialista-ka-nakupu,https://vitar-group.cz/kariera/volna-mista/specialista-ka-nakupu,Specialista/ka nákupu,"Specialista/ka nákupu | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",3889,"Keep facts, rewrite tone for employer branding and current hiring."
P1,Kariéra / otevřené pozice,HR + Central marketing,vitar.cz,https://www.vitar.cz/kariera/volna-mista,https://vitar-group.cz/kariera/volna-mista/volna-mista,Volná místa,"Volná místa | VITAR, s.r.o.","Přidejte se k nám a dělejte práci, která má smysl. Pomáháme lidem vést zdravější život. Prohlédněte si volné pracovní pozice ve VITARu, u tradičního českého výrobce vitaminových doplňků.",3994,"Keep facts, rewrite tone for employer branding and current hiring."
P2,Expertise / edukace,CMO + expert/medical review,vitar.cz,https://www.vitar.cz/30-minut-pro-zdravi,https://vitar-group.cz/expertise/30-minut-pro-zdravi,,"30 minut pro zdraví | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",34914,Keep only after claims/legal review; avoid medical overclaiming.
P2,Expertise / edukace,CMO + expert/medical review,vitar.cz,https://www.vitar.cz/pro-zdravi/pohar-zdravi,https://vitar-group.cz/expertise/pohar-zdravi,,"Pohár zdraví | VITAR, s.r.o.","Představujeme vám seriál plný pohybu pro celou rodinu, který čítá několik akcí po celé ČR. Udělejte něco pro sebe a zúčastněte i naší soutěže!",6559,Keep only after claims/legal review; avoid medical overclaiming.
P2,Expertise / edukace,CMO + expert/medical review,vitar.cz,https://www.vitar.cz/pro-zdravi,https://vitar-group.cz/expertise/pro-zdravi,,"Pro zdraví | VITAR, s.r.o.",Vydejte se s námi na cestu za zdravějším životem! Pomáháme vám řadou různých projektů - stačí se podívat a přidat k nám.,4972,Keep only after claims/legal review; avoid medical overclaiming.
P2,Expertise / edukace,CMO + expert/medical review,vitar.cz,https://www.vitar.cz/pro-zdravi/vitar-ambasadori,https://vitar-group.cz/expertise/vitar-ambasadori,Spolupráce s odborníky a institucemi,"Odborníci a instituce | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",8568,Keep only after claims/legal review; avoid medical overclaiming.
P2,Expertise / edukace,CMO + expert/medical review,vitar.cz,https://www.vitar.cz/pro-zdravi/vitar-seminar,https://vitar-group.cz/expertise/vitar-seminar,VITAR Semináře,"VITAR seminář | VITAR, s.r.o.","VITAR semináře pro vás pořádáme, abychom vám pomohli na vaší cestě ke zdravějšímu životu. Přednášejí odborníci a fakta dává do souvislostí. Jdeme až k samotné podstatě a evoluci.",9399,Keep only after claims/legal review; avoid medical overclaiming.
P2,Legacy NašeVitamíny,Central marketing / VITAR GROUP,nasevitaminy.cz,https://www.nasevitaminy.cz/o-nas,https://vitar-group.cz/o-skupine,O nás,O nás,,1234,Light rewrite and design/content QA before migration.
P2,PR / partnerství / CSR,PR/CMO,vitar.cz,https://www.vitar.cz/o-nas/pomahame,https://vitar-group.cz/media-a-csr/pomahame,Pomáháme,"Pomáháme | VITAR, s.r.o.",Naše motto „Pomáháme lidem vést zdravější život“ se snažíme rozšiřovat i na kvalitu života jako takového. Je pro nás samozřejmé podělit se o svůj úspěch a finanční zisk s potřebnými.,5489,Light rewrite and design/content QA before migration.
P2,PR / partnerství / CSR,PR/CMO,vitar.cz,https://www.vitar.cz/o-nas/pro-media,https://vitar-group.cz/media-a-csr/pro-media,Pro média,"Pro média | VITAR, s.r.o.",Jste zástupci médií a hledáte informace o doplňcích stravy? Obraťte se na nás. VITAR je tradiční český výrobce vitaminových doplňků s vlastním výrobním závodem a historií od roku 1990.,2853,Light rewrite and design/content QA before migration.
P2,PR / partnerství / CSR,PR/CMO,vitar.cz,https://www.vitar.cz/o-nas/reference-a-zkusenosti,https://vitar-group.cz/media-a-csr/reference-a-zkusenosti,Reference a zkušenosti,"Reference a zkušenosti | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",9154,Light rewrite and design/content QA before migration.
P2,PR / partnerství / CSR,PR/CMO,vitar.cz,https://www.vitar.cz/o-nas/spolupracujeme,https://vitar-group.cz/media-a-csr/spolupracujeme,,"Spolupracujeme | VITAR, s.r.o.","Spolupracujeme s vysokými školami, chráněnými dílnami či charitativními projekty. Podívejte jakými.",4374,Light rewrite and design/content QA before migration.
